id_platz;typ;strasse;tarif;anzvelos;anschliess;gedeckt;zugang;infos;cargovelo;bikeride;velospot;geo_point_2d;geo_shape
171;Velos/Motorräder;Sperrstrasse;Gebührenfrei;4;nicht anschliessbar;nein;;;;nein;;47.56487636518761, 7.593691602590878;"{""coordinates"": [7.593691602590878, 47.56487636518761], ""type"": ""Point""}"
172;Velos/Motorräder;Sperrstrasse;Gebührenfrei;4;nicht anschliessbar;nein;;;;nein;;47.565096433930044, 7.594432191398671;"{""coordinates"": [7.594432191398671, 47.565096433930044], ""type"": ""Point""}"
178;Velos/Motorräder;Oetlingerstrasse;Gebührenfrei;8;nicht anschliessbar;nein;;;;nein;;47.56800742951773, 7.596288835004548;"{""coordinates"": [7.596288835004548, 47.56800742951773], ""type"": ""Point""}"
181;Velos/Motorräder;Bärenfelserstrasse;Gebührenfrei;5;nicht anschliessbar;nein;;;;nein;;47.566601612630556, 7.58792989181318;"{""coordinates"": [7.58792989181318, 47.566601612630556], ""type"": ""Point""}"
183;Velos/Motorräder;Efringerstrasse;Gebührenfrei;3;nicht anschliessbar;nein;;;;nein;;47.568167000358365, 7.596411683766017;"{""coordinates"": [7.596411683766017, 47.568167000358365], ""type"": ""Point""}"
184;Velos/Motorräder;Efringerstrasse;Gebührenfrei;3;nicht anschliessbar;nein;;;;nein;;47.56930484573569, 7.596266300944016;"{""coordinates"": [7.596266300944016, 47.56930484573569], ""type"": ""Point""}"
189;Velos/Motorräder;Erasmusplatz;Gebührenfrei;3;nicht anschliessbar;nein;;;;nein;;47.56609023493839, 7.588941488583935;"{""coordinates"": [7.588941488583935, 47.56609023493839], ""type"": ""Point""}"
197;Velos/Motorräder;Bachlettenstrasse;Gebührenfrei;5;nicht anschliessbar;nein;;;;nein;;47.54953560459894, 7.579840360012243;"{""coordinates"": [7.579840360012243, 47.54953560459894], ""type"": ""Point""}"
198;Velos/Motorräder;Holeestrasse;Gebührenfrei;5;nicht anschliessbar;nein;;;;nein;;47.545586908280114, 7.5684262629062244;"{""coordinates"": [7.568426262906224, 47.545586908280114], ""type"": ""Point""}"
200;Velos/Motorräder;General Guisan-Strasse;Gebührenfrei;3;nicht anschliessbar;nein;;;;nein;;47.550500167164984, 7.566974598851029;"{""coordinates"": [7.566974598851029, 47.550500167164984], ""type"": ""Point""}"
202;Velos/Motorräder;Arnold Böcklin-Strasse;Gebührenfrei;5;nicht anschliessbar;nein;;;;nein;;47.550978578384225, 7.579864206059715;"{""coordinates"": [7.579864206059715, 47.550978578384225], ""type"": ""Point""}"
204;Velos/Motorräder;Leimenstrasse;Gebührenfrei;10;nicht anschliessbar;nein;;;;nein;;47.55145965575326, 7.580033475976265;"{""coordinates"": [7.580033475976265, 47.55145965575326], ""type"": ""Point""}"
205;Velos/Motorräder;Schützenmattstrasse;Gebührenfrei;7;nicht anschliessbar;nein;;;;nein;;47.555615091189026, 7.580475528612085;"{""coordinates"": [7.580475528612085, 47.555615091189026], ""type"": ""Point""}"
207;Velos/Motorräder;Schertlingasse;Gebührenfrei;5;nicht anschliessbar;nein;;;;nein;;47.552180809027206, 7.584904099273055;"{""coordinates"": [7.584904099273055, 47.552180809027206], ""type"": ""Point""}"
